%X	Y	Z	R	G	B
0.170417711139	1.60000002384	0.910893142223	0	0	0
0.179815247655	1.64600002766	0.93708139658	0	0	0
0.175691083074	1.56900012493	0.893244624138	0	0	0
0.186631813645	1.62700009346	0.92626452446	0	0	0
0.18755467236	1.59700012207	0.909185230732	0	0	0
0.196845933795	1.63800013065	0.932526886463	0	0	0
0.19851115346	1.58000004292	0.899507045746	0	0	0
0.204754412174	1.59500002861	0.908046603203	0	0	0
0.21055521071	1.6060000658	0.914309024811	0	0	0
0.21681766212	1.62000012398	0.92227935791	0	0	0
0.221108064055	1.61900007725	0.921710014343	0	0	0
0.226646736264	1.62700009346	0.92626452446	0	0	0
0.234217628837	1.64900004864	0.938789308071	0	0	0
0.232933089137	1.60900008678	0.916016936302	0	0	0
0.242345064878	1.64300012589	0.935373425484	0	0	0
